job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,reuse_from_battery,run_this
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_SGL-WQS_888_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,SGL-WQS,888,100888,1000888,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_gWQS_888_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,gWQS,888,100888,2000888,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_groupWQS_888_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,groupWQS,888,100888,3000888,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_qgcomp_888_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,qgcomp,888,100888,4000888,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_SGL-WQS_999_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,SGL-WQS,999,100999,1000999,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_gWQS_999_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,gWQS,999,100999,2000999,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_groupWQS_999_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,groupWQS,999,100999,3000999,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_qgcomp_999_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,qgcomp,999,100999,4000999,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_SGL-WQS_1001_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,SGL-WQS,1001,101001,1001001,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_gWQS_1001_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,gWQS,1001,101001,2001001,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_groupWQS_1001_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,groupWQS,1001,101001,3001001,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_qgcomp_1001_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,qgcomp,1001,101001,4001001,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_SGL-WQS_1123_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,SGL-WQS,1123,101123,1001123,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_gWQS_1123_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,gWQS,1123,101123,2001123,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
H_dense_group_signal_H_binomial_unbalanced_dense_group_n500_p100_groupWQS_1123_NA,H_dense_group_signal,H_binomial_unbalanced_dense_group_n500_p100,binomial,500,100,groupWQS,1123,101123,3001123,,dense_group_matched,dense_group_matched,unbalanced,0.45,0.05,,TRUE
