"Scenario","p","n","n_groups","truth_profile","within_rho","cross_rho","Method","N","Mean","SD","T_P_gt_0_5","Wilcoxon_P_gt_0_5","T_P_BH","Wilcoxon_P_BH"
"p100_r045_weak3_main10",100,1000,10,"weak3",0.45,0.05,"qgcomp",10,0.688888888888889,0.1553790886178,0.00197035013664263,0.0118142759281329,0.00606718452904968,0.0327164564163681
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"SGL-WQS",10,0.6,0.119440855530349,0.0132909802930296,0.0183355602377002,0.0202254047937406,0.0390583331015822
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"gWQS",10,0.577777777777778,0.187394231713682,0.110917077711929,0.206038732428229,0.131976377599529,0.231793573981757
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"groupWQS",10,0.677777777777778,0.133024333304207,0.0011095737254936,0.00503223937957498,0.00388350803922761,0.0150967181387249
"p100_r080_baseline3_main10",100,1000,10,"baseline3",0.8,0.05,"qgcomp",10,0.666666666666667,0.0907218423253029,0.000128206991401995,0.00267772885592088,0.00112181117476746,0.0150967181387249
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"SGL-WQS",5,0.577777777777778,0.121716123890037,0.113122609371025,0.134773819077583,0.131976377599529,0.16578175040249
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"gWQS",5,0.577777777777778,0.182574185835055,0.19737272640501,0.391263962370034,0.21587641950548,0.403968727089439
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"groupWQS",5,0.777777777777778,0,NA,0.0184442128535249,NA,0.0390583331015822
"p100_r080_strong3_orth5",100,1000,10,"strong3",0.8,0.05,"qgcomp",5,0.733333333333333,0.126686158344349,0.00731552572101081,0.0289536327086487,0.015061376484434,0.041693231100454
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"SGL-WQS",5,0.511111111111111,0.0608580619450185,0.352000000000001,0.382797241997882,0.373333333333334,0.403968727089439
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"gWQS",5,0.488888888888889,0.201843356939833,0.546014181393034,0.660577350287841,0.546014181393034,0.660577350287841
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"groupWQS",5,0.688888888888889,0.121716123890037,0.012790522575018,0.0266684264145699,0.0202254047937406,0.041693231100454
"p100_r080_weak3_orth5",100,1000,10,"weak3",0.8,0.05,"qgcomp",5,0.622222222222222,0.126686158344349,0.0485925925925926,0.0672082870851801,0.0654131054131054,0.0864106548238031
