"Scenario","p","n","n_groups","truth_profile","Method","N","Mean","SD","T_P_gt_0_5","Wilcoxon_P_gt_0_5","T_P_BH","Wilcoxon_P_BH"
"p100_g10_baseline3_main10",100,1000,10,"baseline3","gWQS",10,0.677777777777778,0.152257813267366,0.00248977243900085,0.00258685784312756,0.00764660082509908,0.0196114839973434
"p100_g10_baseline3_main10",100,1000,10,"baseline3","groupWQS",10,0.677777777777778,0.133024333304207,0.0011095737254936,0.00503223937957498,0.00628758444446375,0.0201289575182999
"p100_g10_baseline3_main10",100,1000,10,"baseline3","qgcomp",10,0.766666666666667,0.133024333304207,6.72878196502966e-05,0.00272381722185325,0.00114389293405504,0.0196114839973434
"p100_g10_strong3_main10",100,1000,10,"strong3","SGL-WQS",10,0.7,0.174113470719158,0.00273243854807822,0.0153767806296373,0.00764660082509908,0.0449006218644687
"p100_g10_strong3_main10",100,1000,10,"strong3","gWQS",10,0.7,0.166048235344147,0.00208017755281703,0.00258685784312756,0.00707260367957791,0.0196114839973434
"p100_g10_strong3_main10",100,1000,10,"strong3","groupWQS",10,0.7,0.128833534303156,0.000418544834498237,0.00398044017111745,0.00474350812431336,0.0201289575182999
"p100_g10_strong3_main10",100,1000,10,"strong3","qgcomp",10,0.811111111111111,0.117705545052376,7.7856537763966e-06,0.00258685784312756,0.000264712228397484,0.0196114839973434
"p100_g10_weak3_main10",100,1000,10,"weak3","SGL-WQS",10,0.588888888888889,0.196331233788127,0.0930107764880483,0.0612874999491551,0.121629476945909,0.0859853619946428
"p100_g10_weak3_main10",100,1000,10,"weak3","gWQS",10,0.622222222222222,0.167282811713129,0.0231007707628329,0.0361020361430222,0.0374012479017295,0.0565075348325565
"p100_g10_weak3_main10",100,1000,10,"weak3","groupWQS",10,0.677777777777778,0.133024333304207,0.0011095737254936,0.00503223937957498,0.00628758444446375,0.0201289575182999
"p100_g10_weak3_main10",100,1000,10,"weak3","qgcomp",10,0.688888888888889,0.1553790886178,0.00197035013664263,0.0118142759281329,0.00707260367957791,0.0386649030375259
"p100_g20_baseline3_main10",100,1000,20,"baseline3","SGL-WQS",10,0.644444444444444,0.22098420578039,0.0343487520298202,0.0624000781178504,0.0530844349551767,0.0859853619946428
"p100_g20_baseline3_main10",100,1000,20,"baseline3","gWQS",10,0.6,0.175291252832581,0.0523615979723496,0.109280257148693,0.0712117732423955,0.140503187762605
"p100_g20_baseline3_main10",100,1000,20,"baseline3","groupWQS",10,0.7,0.181821299387164,0.00347778382777227,0.00990992673447031,0.00788297667628382,0.0356757362440931
"p100_g20_baseline3_main10",100,1000,20,"baseline3","qgcomp",10,0.677777777777778,0.199106371195787,0.00996591303232968,0.0199558319397638,0.0183443211075163,0.0449006218644687
"p100_g20_strong3_orth5",100,1000,20,"strong3","SGL-WQS",5,0.666666666666667,0.111111111111111,0.0142301016271692,0.0283797231930068,0.0241911727661876,0.046439547043102
"p100_g20_strong3_orth5",100,1000,20,"strong3","gWQS",5,0.6,0.0993807989999906,0.0438225882516973,0.0644890214959821,0.0620820000232379,0.0859853619946428
"p100_g20_strong3_orth5",100,1000,20,"strong3","groupWQS",5,0.733333333333333,0.0993807989999906,0.00314860033974668,0.0238574401186756,0.00764660082509908,0.0452035707511748
"p100_g20_strong3_orth5",100,1000,20,"strong3","qgcomp",5,0.755555555555556,0.0929622251704528,0.00177614730106837,0.0283797231930068,0.00707260367957791,0.046439547043102
"p100_g20_weak3_orth5",100,1000,20,"weak3","SGL-WQS",5,0.422222222222222,0.213726489574126,0.7692689773917,0.828486086344409,0.7692689773917,0.852157117382821
"p100_g20_weak3_orth5",100,1000,20,"weak3","gWQS",5,0.488888888888889,0.149071198499986,0.562140928028488,0.70689315946343,0.597274736030269,0.748475110020102
"p100_g20_weak3_orth5",100,1000,20,"weak3","groupWQS",5,0.555555555555556,0.235702260395516,0.313019049894637,0.339422649712159,0.366987851600609,0.394168238375411
"p100_g20_weak3_orth5",100,1000,20,"weak3","qgcomp",5,0.511111111111111,0.201843356939833,0.453985818606966,0.606771482431312,0.49791993008506,0.661932526288704
