job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,bootstrap_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,binomial_target_prevalence,reuse_from_battery,run_this
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_999_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,999,100999,1000999,100999,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_999_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,999,100999,2000999,2000999,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_999_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,999,100999,3000999,3000999,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_999_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,999,100999,4000999,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_1001_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,1001,101001,1001001,101001,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_1001_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,1001,101001,2001001,2001001,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_1001_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,1001,101001,3001001,3001001,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_1001_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,1001,101001,4001001,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_1123_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,1123,101123,1001123,101123,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_1123_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,1123,101123,2001123,2001123,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
