true_ratio,threshold,seed,ok,error,error_class,fitted_ratio,fitted_minor_direction,excluded_minor,pos_estimate,pos_pvalue,neg_estimate,neg_pvalue,contrast_estimate,true_contrast
0.05,0.4,3141,TRUE,NA,NA,0.0010064150308004359,negative,TRUE,0.4989105036857653,6.822520673029287e-13,NA,NA,0.22728794878902692,0.475
0.05,0.4,3333,TRUE,NA,NA,0,negative,TRUE,0.5089646859502938,2.1220805326026686e-14,NA,NA,0.1541514980827633,0.475
0.05,0.4,3500,TRUE,NA,NA,5.577691561847052e-5,negative,TRUE,0.46798558490159864,5.401767191207629e-13,NA,NA,0.18293957978057404,0.475
0.05,0.4,3777,TRUE,NA,NA,5.591528521516192e-4,negative,TRUE,0.40727365923062364,1.6109903842545157e-9,NA,NA,0.14235693604402075,0.475
0.1,0,71,TRUE,NA,NA,0.0011403006412903326,negative,FALSE,0.31702298099954346,3.7858382850975724e-5,0.02302586328414125,0.702950302778361,0.11739427815990859,0.44999999999999996
0.1,0,42,TRUE,NA,NA,0.0869860255555414,negative,FALSE,0.27829055954110893,0.0010503574890326065,0.11949611648858578,0.07476116199681392,0.13082831723713229,0.44999999999999996
0.1,0,123,TRUE,NA,NA,2.2622176449405503e-4,negative,FALSE,0.419588835444915,4.6543752559286693e-8,-0.027024836383053794,0.6926473499344252,0.15158533507897332,0.44999999999999996
0.1,0,256,TRUE,NA,NA,3.276748184318187e-5,negative,FALSE,0.32795348074475866,1.8514823469091207e-5,0.07636334162526334,0.2103574330854827,0.13970418763332818,0.44999999999999996
0.1,0,314,TRUE,NA,NA,2.98392941388008e-4,negative,FALSE,0.5078042880345512,2.395218733307844e-10,-0.10790417338676427,0.06447563349330554,0.16464240196819224,0.44999999999999996
0.1,0,500,TRUE,NA,NA,0,negative,FALSE,0.39742532994312135,1.256255164320346e-8,NA,NA,0.17951672964849144,0.44999999999999996
0.1,0,617,TRUE,NA,NA,0,negative,FALSE,0.3985005014960392,2.3890534878276903e-9,NA,NA,0.1760699677357696,0.44999999999999996
0.1,0,789,TRUE,NA,NA,2.6136400905871606e-5,negative,FALSE,0.44164556876559385,1.0076427397754472e-7,0.059953678143938274,0.33851499037630806,0.2006907930786885,0.44999999999999996
0.1,0,888,TRUE,NA,NA,0,negative,FALSE,0.42962888537652566,2.3222364391904722e-11,NA,NA,0.18336388894912242,0.44999999999999996
0.1,0,999,TRUE,NA,NA,1.1631635529311754e-5,negative,FALSE,0.37888793182269087,2.169888254860989e-7,-0.0012577514870353288,0.9821289378733076,0.14172688123149674,0.44999999999999996
0.1,0,1001,TRUE,NA,NA,7.762866005705378e-5,negative,FALSE,0.28784671486701074,3.965931494364689e-4,0.04353633666178488,0.46715913329669057,0.09654964596816953,0.44999999999999996
0.1,0,1123,TRUE,NA,NA,3.730644241361441e-5,negative,FALSE,0.42079034470692167,3.7556972869557996e-8,0.059742156663876764,0.27888942840449404,0.14773028560590884,0.44999999999999996
0.1,0,1234,TRUE,NA,NA,0,negative,FALSE,0.2709918692642516,8.944285393506866e-6,NA,NA,0.1042790580157005,0.44999999999999996
0.1,0,1357,TRUE,NA,NA,2.6655090423817256e-5,negative,FALSE,0.4205390859445782,2.1598667996276561e-7,-0.0490339522411239,0.4058031864615075,0.16241110241479148,0.44999999999999996
0.1,0,1500,TRUE,NA,NA,0,negative,FALSE,0.37853832372969226,7.011869050393597e-8,NA,NA,0.10607205172495215,0.44999999999999996
0.1,0,1618,TRUE,NA,NA,1.6206441527312837e-4,negative,FALSE,0.3822854172321767,6.323196824053591e-8,-0.003475199548249543,0.9501140324588864,0.12279790732925797,0.44999999999999996
0.1,0,1729,TRUE,NA,NA,3.056889393163102e-4,negative,FALSE,0.4956608370961404,1.0886753160313632e-8,-0.005817087371219295,0.921078026717826,0.16023972961342675,0.44999999999999996
0.1,0,1847,TRUE,NA,NA,3.052764696735718e-4,negative,FALSE,0.5632127231142908,1.204579263752872e-10,-0.07863247442659305,0.1850176095897473,0.24890862940124434,0.44999999999999996
0.1,0,1963,TRUE,NA,NA,5.461568485611042e-5,negative,FALSE,0.4064230846585241,1.4514485162633595e-6,0.023931994703783772,0.696527475698683,0.14702822148163963,0.44999999999999996
0.1,0,2048,TRUE,NA,NA,5.979860772054436e-5,negative,FALSE,0.4540139991608234,4.090046572255352e-8,-0.029589306630613703,0.6495599950961648,0.21594436123710145,0.44999999999999996
0.1,0,2222,TRUE,NA,NA,3.402444554747899e-4,negative,FALSE,0.36380360957276353,2.594901763706186e-6,-0.04761918488396957,0.49300416071939224,0.19699312224305623,0.44999999999999996
0.1,0,2345,TRUE,NA,NA,9.825108298965338e-5,negative,FALSE,0.3713657685013768,5.3956974457672746e-5,0.11486873052082607,0.15852924375602206,0.10383991813444096,0.44999999999999996
0.1,0,2500,TRUE,NA,NA,0,negative,FALSE,0.44248640331171674,2.7608415193197217e-11,NA,NA,0.14230235220695905,0.44999999999999996
